Channel_1,Channel_2,Channel_3,Channel_4
0.000000,53.173359,-127.905205,-66.828987
-0.000000,53.126369,-127.774689,-66.837852
0.000001,53.162853,-127.708031,-66.821663
-0.000000,53.206703,-127.694656,-66.712616
0.000000,53.149689,-127.622185,-66.753738
0.000000,53.099758,-127.472786,-66.774147
0.000000,53.173897,-127.358009,-66.740021
-0.000000,53.334805,-127.301521,-66.721283
0.000000,53.467842,-127.265228,-66.689537
0.000000,53.504292,-127.307831,-66.718170
0.000000,53.502342,-127.310036,-66.749504
0.000000,53.503811,-127.365578,-66.842758
0.000001,53.451538,-127.453430,-66.935280
0.000001,53.477600,-127.488701,-67.007187
-0.000001,53.571033,-127.461487,-66.996651
-0.000000,53.619186,-127.415039,-66.878952
-0.000000,53.500195,-127.428154,-66.836960
-0.000001,53.360538,-127.476128,-66.768707
-0.000000,53.265339,-127.498260,-66.701454
-0.000000,53.339649,-127.548424,-66.638664
0.000001,53.361359,-127.709297,-66.681953
0.000001,53.238029,-127.860809,-66.807495
-0.000001,53.188416,-127.950485,-66.752541
0.000000,53.240044,-127.941185,-66.713448
0.000000,53.290649,-127.891350,-66.724304
-0.000001,53.323849,-127.914330,-66.702217
-0.000000,53.318676,-127.871147,-66.708527
-0.000002,53.250416,-127.757492,-66.784660
0.000000,53.232910,-127.675629,-66.725563
-0.000000,53.219742,-127.609787,-66.530655
0.000001,53.226734,-127.561996,-66.412422
-0.000001,53.274990,-127.507088,-66.467972
0.000001,53.244766,-127.491898,-66.605850
0.000002,53.200008,-127.575165,-66.720276
0.000001,53.296864,-127.581192,-66.776619
-0.000001,53.450054,-127.521301,-66.886345
-0.000001,53.607033,-127.458496,-66.912262
-0.000001,53.722725,-127.442322,-66.853127
0.000001,53.705231,-127.498260,-66.793556
0.000000,53.562141,-127.622444,-66.859741
0.000001,53.436237,-127.744377,-66.951523
0.000001,53.425354,-127.736099,-66.899376
0.000001,53.377708,-127.842827,-66.880432
0.000001,53.380314,-127.902840,-66.851837
0.000001,53.369839,-127.933098,-66.916626
-0.000000,53.399944,-127.911171,-67.028458
0.000001,53.289082,-127.924698,-67.102272
0.000000,53.126293,-127.983528,-67.174675
-0.000001,53.099953,-127.921585,-67.196152
0.000000,53.071583,-127.878181,-67.232399
0.000000,52.987640,-127.927322,-67.329224
-0.000001,52.946198,-128.003342,-67.341232
0.000001,52.987473,-127.950691,-67.284843
-0.000002,53.078945,-127.829674,-67.185150
-0.000001,53.147533,-127.726883,-67.052727
-0.000001,53.152313,-127.625916,-66.939621
-0.000001,53.226738,-127.461647,-66.832138
0.000000,53.361206,-127.236145,-66.772942
-0.000000,53.505535,-127.140770,-66.848862
0.000001,53.544140,-127.202606,-66.960548
0.000000,53.532761,-127.303177,-66.986908
0.000001,53.528107,-127.397499,-66.951447
0.000002,53.394684,-127.498039,-66.997017
-0.000001,53.289597,-127.508781,-67.071487
0.000000,53.361797,-127.536728,-67.165688
-0.000001,53.411400,-127.642021,-67.251747
0.000000,53.332664,-127.791222,-67.327332
-0.000001,53.191456,-127.913292,-67.388107
-0.000001,53.125038,-127.952766,-67.353073
-0.000000,53.129745,-128.004898,-67.361435
0.000000,53.179691,-128.029251,-67.316246
0.000000,53.203346,-128.068115,-67.239258
0.000001,53.170628,-128.056427,-67.183968
0.000001,53.005360,-128.037003,-67.194603
0.000001,52.930218,-127.976959,-67.212875
0.000000,52.991760,-127.927826,-67.204788
0.000001,53.051743,-127.914024,-67.108994
-0.000001,53.023098,-127.882866,-67.066849
0.000000,52.981247,-127.872566,-67.244881
0.000001,53.010612,-127.754349,-67.294876
-0.000000,52.898006,-127.802940,-67.303452
-0.000000,52.715481,-127.954941,-67.337753
0.000001,52.636177,-127.913315,-67.306053
0.000000,52.658161,-127.861435,-67.225235
-0.000001,52.717163,-127.789665,-67.128220
-0.000000,52.829639,-127.654121,-67.110443
-0.000000,52.965832,-127.523438,-67.034454
0.000001,53.028202,-127.506294,-67.011475
0.000000,53.042862,-127.579933,-66.987076
-0.000000,53.052090,-127.639603,-66.994843
0.000000,53.061996,-127.655190,-67.069878
-0.000000,53.076866,-127.580193,-67.118538
-0.000001,53.094925,-127.497894,-67.131332
-0.000000,53.101143,-127.541016,-67.116188
-0.000000,53.067616,-127.523735,-67.028511
0.000001,52.884075,-127.504623,-66.971146
0.000001,52.832443,-127.455612,-66.796219
-0.000001,52.784008,-127.447235,-66.704521
0.000001,52.543591,-127.629974,-66.747650
-0.000000,52.450405,-127.784256,-66.786140
0.000000,52.436916,-127.951073,-66.873703
0.000000,52.426247,-128.051590,-66.987129
-0.000000,52.528088,-128.025208,-66.903122
-0.000000,52.568016,-127.952728,-66.719795
-0.000000,52.543690,-127.898018,-66.673073
0.000000,52.637424,-127.684532,-66.641617
0.000000,52.668774,-127.706444,-66.736298
0.000000,52.687111,-127.798378,-66.854752
0.000000,52.729465,-127.748421,-66.774078
-0.000000,52.662315,-127.774292,-66.796890
0.000000,52.561634,-127.861992,-66.930847
-0.000000,52.425648,-127.850533,-67.011734
-0.000000,52.384548,-127.751717,-66.964806
0.000000,52.370548,-127.784035,-67.014313
-0.000000,52.358997,-127.914940,-67.138077
-0.000000,52.367138,-128.043198,-67.190536
-0.000000,52.466389,-128.086838,-67.147285
0.000000,52.663727,-128.074310,-67.018372
-0.000000,52.771675,-128.025284,-66.947716
0.000000,52.763184,-127.987236,-66.927399
0.000000,52.811726,-127.986374,-66.823616
0.000000,52.770893,-127.994652,-66.814201
-0.000000,52.731041,-127.965088,-66.767113
0.000000,52.714867,-127.892281,-66.663780
-0.000000,52.659969,-127.875969,-66.611946
-0.000000,52.678612,-127.890656,-66.510460
-0.000000,52.718872,-127.871437,-66.424309
0.000000,52.775723,-127.835617,-66.367805
-0.000000,52.815994,-127.802856,-66.361633
-0.000000,52.813816,-127.900612,-66.376266
-0.000000,52.812115,-128.013733,-66.370644
0.000000,52.846073,-128.042374,-66.391098
-0.000000,52.803852,-128.165054,-66.441505
-0.000000,52.797733,-128.216980,-66.348465
-0.000000,52.803734,-128.237640,-66.287056
-0.000000,52.839317,-128.192352,-66.303406
0.000000,52.930325,-128.086609,-66.362129
-0.000000,52.923138,-128.025330,-66.406166
0.000000,52.817028,-127.871475,-66.477524
0.000000,52.799938,-127.686378,-66.526031
0.000000,52.778564,-127.721344,-66.622124
0.000000,52.780727,-127.791618,-66.618004
0.000000,52.799953,-127.744446,-66.506012
0.000000,52.800049,-127.712090,-66.473396
-0.000000,52.814297,-127.639740,-66.406288
-0.000000,52.739716,-127.656067,-66.255562
0.000000,52.590649,-127.858704,-66.252190
0.000000,52.608910,-127.960106,-66.251343
-0.000000,52.677082,-127.996574,-66.224457
0.000000,52.803730,-127.917473,-66.237305
-0.000000,52.942665,-127.819633,-66.254745
-0.000000,53.002377,-127.794502,-66.167915
0.000000,52.968098,-127.808006,-66.139717
0.000000,52.926155,-127.816246,-66.200333
0.000000,52.920418,-127.789375,-66.118652
-0.000000,52.867203,-127.744255,-66.072357
0.000000,52.813145,-127.772179,-66.181053
-0.000000,52.863461,-127.837860,-66.326828
-0.000000,52.887730,-127.837120,-66.455025
0.000001,52.829124,-127.803734,-66.448830
0.000000,52.764515,-127.832336,-66.329956
0.000000,52.735321,-127.799332,-66.208519
0.000000,52.607605,-127.748901,-66.226776
-0.000001,52.409691,-127.796852,-66.315727
0.000001,52.227501,-127.902199,-66.396660
0.000000,52.152325,-127.860123,-66.334167
0.000000,52.253487,-127.768951,-66.176987
-0.000000,52.323154,-127.745842,-66.170517
0.000000,52.277115,-127.676514,-66.298363
-0.000000,52.149231,-127.608528,-66.523773
-0.000000,52.060780,-127.641365,-66.683861
0.000001,52.039394,-127.762245,-66.668678
-0.000001,52.068501,-127.826508,-66.628723
0.000000,52.174721,-127.749580,-66.600769
-0.000000,52.127113,-127.603050,-66.579147
-0.000000,52.045135,-127.558990,-66.661263
-0.000000,52.177414,-127.551834,-66.680412
-0.000001,52.306572,-127.626587,-66.662361
0.000001,52.295872,-127.687157,-66.607285
-0.000000,52.172863,-127.755867,-66.601921
-0.000000,52.070889,-127.806084,-66.534164
0.000000,52.113346,-127.766670,-66.428047
0.000000,52.143959,-127.733139,-66.498550
0.000001,52.267284,-127.648949,-66.506630
0.000000,52.400608,-127.587761,-66.460396
-0.000000,52.482422,-127.555336,-66.383553
0.000000,52.578888,-127.550385,-66.318924
-0.000000,52.653637,-127.510841,-66.333786
-0.000001,52.660549,-127.607826,-66.493896
0.000001,52.647259,-127.758888,-66.668137
0.000001,52.597870,-127.853569,-66.865837
0.000001,52.615345,-127.783882,-66.987381
-0.000000,52.714485,-127.663315,-66.945747
0.000000,52.759426,-127.735168,-66.992729
0.000000,52.728912,-127.876335,-67.102631
-0.000001,52.839142,-127.923218,-67.064629
0.000001,52.987526,-128.002548,-66.999268
-0.000002,52.947460,-128.120346,-67.015419
-0.000001,52.939655,-128.081497,-67.011566
0.000001,52.930717,-128.030991,-67.070641
0.000000,52.862011,-128.082260,-67.099640
0.000001,52.823425,-128.136780,-67.073296
0.000001,52.619953,-128.215347,-67.124680
-0.000001,52.455860,-128.207123,-67.045364
-0.000001,52.403584,-128.204178,-66.865166
0.000001,52.436409,-128.223984,-66.786888
-0.000001,52.374390,-128.159927,-66.840164
-0.000000,52.400860,-128.044952,-66.901764
-0.000000,52.576756,-127.941208,-66.916237
0.000001,52.696674,-127.812286,-66.951843
-0.000001,52.805943,-127.786331,-67.001640
-0.000001,52.949810,-127.754982,-66.881943
0.000001,52.997906,-127.801903,-66.789726
0.000001,52.998871,-127.931007,-66.824356
-0.000001,53.093689,-128.041229,-66.894363
-0.000001,53.162582,-128.094559,-66.966057
0.000001,53.216507,-128.084808,-66.957207
0.000000,53.207298,-127.993370,-66.854858
-0.000001,53.093758,-127.887146,-66.790924
-0.000000,53.067516,-127.796890,-66.780289
0.000001,53.150364,-127.659821,-66.762825
-0.000001,53.212227,-127.569756,-66.741173
0.000001,53.209095,-127.568054,-66.702538
-0.000001,53.146641,-127.641281,-66.735870
0.000001,53.115665,-127.607635,-66.851463
0.000001,53.116020,-127.592323,-66.914032
0.000002,53.058838,-127.553772,-66.857124
0.000001,53.049759,-127.530495,-66.828735
0.000001,53.109417,-127.610832,-66.875298
-0.000001,53.038242,-127.690437,-66.881752
-0.000000,52.927116,-127.638802,-66.839302
-0.000000,52.930767,-127.620987,-66.874306
-0.000001,53.023838,-127.504555,-66.833107
-0.000001,52.991173,-127.422134,-66.726585
0.000002,52.892105,-127.526321,-66.774315
0.000001,52.855793,-127.599525,-66.829803
0.000001,52.968929,-127.563515,-66.747208
-0.000001,52.991085,-127.611725,-66.723351
0.000001,52.983868,-127.687210,-66.802399
-0.000000,53.013664,-127.680992,-66.825867
0.000001,53.069504,-127.641083,-66.855019
0.000000,53.060406,-127.662842,-66.963295
0.000001,53.041653,-127.746826,-67.030876
0.000000,53.072155,-127.739937,-67.028465
0.000001,53.183521,-127.701744,-66.989517
0.000001,53.239174,-127.770454,-66.999809
0.000000,53.200848,-127.926926,-67.092133
-0.000001,53.233097,-127.971458,-67.058151
0.000000,53.353722,-127.912125,-66.983780
0.000000,53.506592,-127.845314,-67.010185
0.000000,53.610519,-127.713181,-66.996620
0.000000,53.625584,-127.671776,-66.962662
0.000000,53.616024,-127.738625,-66.979683
0.000001,53.666027,-127.758232,-66.890266
0.000001,53.672203,-127.673813,-66.730286
0.000001,53.558567,-127.747490,-66.886009
0.000000,53.526871,-127.831505,-67.122734
0.000001,53.561268,-127.842857,-67.171707
-0.000000,53.595650,-127.750755,-67.095680
-0.000000,53.565655,-127.725388,-67.047722
0.000000,53.514355,-127.743599,-66.985153
-0.000000,53.533749,-127.720665,-66.941605
0.000001,53.482193,-127.659332,-66.986931
0.000000,53.404434,-127.594528,-67.054886
-0.000000,53.316051,-127.556343,-67.049614
-0.000000,53.256924,-127.565849,-66.889755
-0.000000,53.170685,-127.600533,-66.754601
0.000001,53.152908,-127.658798,-66.678848
0.000000,53.100780,-127.749298,-66.668045
0.000000,53.172421,-127.682007,-66.666573
0.000000,53.338436,-127.560127,-66.619484
0.000001,53.407326,-127.488846,-66.576416
-0.000000,53.377979,-127.395599,-66.508011
-0.000000,53.370220,-127.342339,-66.467331
-0.000001,53.472458,-127.367218,-66.440063
-0.000000,53.604713,-127.281227,-66.441719
-0.000000,53.543308,-127.322311,-66.591309
-0.000000,53.396938,-127.424973,-66.711777
-0.000000,53.322166,-127.427284,-66.638031
-0.000000,53.211868,-127.596291,-66.684433
0.000000,53.088779,-127.700462,-66.850471
-0.000000,52.997200,-127.732849,-67.033928
0.000000,52.834789,-127.962990,-67.270210
0.000000,52.724586,-128.177185,-67.350990
0.000000,52.713161,-128.267853,-67.199333
0.000000,52.738335,-128.313934,-67.068199
0.000000,52.901592,-128.232162,-66.904266
-0.000000,53.046146,-128.134354,-66.827171
0.000000,53.162216,-128.100922,-66.756615
-0.000000,53.196114,-128.120056,-66.652267
-0.000000,53.171318,-128.166580,-66.647308
-0.000000,53.135311,-128.170166,-66.697945
-0.000000,53.056938,-128.270187,-66.803017
-0.000000,53.037766,-128.338898,-66.942535
-0.000000,52.978729,-128.388199,-67.066414
-0.000000,53.017532,-128.339432,-67.090660
-0.000000,53.079285,-128.215530,-67.086975
-0.000000,53.170719,-128.066757,-67.051758
-0.000000,53.262341,-127.969116,-67.038330
0.000000,53.305923,-127.982422,-67.106445
0.000000,53.166084,-128.082748,-67.344147
-0.000000,53.071728,-128.166550,-67.474518
0.000000,53.095783,-128.134003,-67.449585
-0.000000,53.150105,-128.071701,-67.446594
0.000000,53.160393,-128.006210,-67.405930
0.000000,53.143078,-127.933754,-67.416489
-0.000000,53.187859,-127.853401,-67.410408
-0.000000,53.190147,-127.739731,-67.305779
0.000000,53.150364,-127.600113,-67.169319
-0.000000,53.114128,-127.534737,-67.152534
0.000000,52.962364,-127.655586,-67.294189
-0.000000,52.776230,-127.869591,-67.488274
-0.000000,52.682808,-128.060287,-67.648880
-0.000000,52.778881,-128.094269,-67.692429
-0.000000,53.003078,-127.957703,-67.596153
0.000000,53.180737,-127.811821,-67.405159
0.000000,53.274216,-127.774307,-67.255920
0.000000,53.199585,-127.825249,-67.263664
0.000000,53.022720,-127.863853,-67.390511
0.000000,52.903168,-127.855179,-67.527908
-0.000000,52.824326,-127.735870,-67.511482
-0.000000,52.724007,-127.715034,-67.429054
0.000000,52.706188,-127.726959,-67.396156
-0.000000,52.733238,-127.666840,-67.307785
0.000000,52.763817,-127.633324,-67.214928
-0.000000,52.858177,-127.624496,-67.102989
-0.000000,52.937538,-127.669724,-67.114639
-0.000000,53.034981,-127.769119,-67.124710
0.000000,53.129387,-127.719124,-67.025063
0.000000,53.106369,-127.643005,-66.961533
0.000001,53.030659,-127.615494,-66.856354
-0.000000,52.940002,-127.539688,-66.748802
-0.000000,52.957191,-127.470543,-66.712280
0.000000,52.915325,-127.494858,-66.707588
0.000000,52.794167,-127.563148,-66.650719
-0.000001,52.824348,-127.528603,-66.565620
-0.000001,52.906151,-127.463806,-66.500038
0.000001,52.950069,-127.413933,-66.543320
-0.000000,53.010963,-127.279022,-66.559387
0.000001,53.010277,-127.193756,-66.523659
-0.000000,52.980438,-127.191628,-66.518204
-0.000001,53.040623,-127.238197,-66.516510
-0.000001,53.057587,-127.226105,-66.503403
-0.000001,52.999981,-127.392868,-66.533630
0.000000,52.928822,-127.604607,-66.643372
-0.000000,52.842400,-127.680763,-66.839638
0.000001,52.856556,-127.773300,-66.964447
0.000001,52.904911,-127.921318,-67.012405
0.000000,52.862846,-127.925995,-67.025673
-0.000000,52.807549,-127.885246,-66.982452
0.000000,52.775650,-127.964981,-66.987938
-0.000000,52.839291,-127.853645,-66.944603
-0.000000,52.943817,-127.595810,-66.911728
-0.000000,52.983978,-127.530113,-66.912590
0.000001,53.026283,-127.524323,-66.884155
0.000000,53.068714,-127.470665,-66.767014
-0.000000,53.020267,-127.540688,-66.709526
0.000000,53.048611,-127.508530,-66.609886
-0.000001,53.095116,-127.478073,-66.515312
-0.000000,53.092133,-127.646706,-66.429703
0.000000,53.117859,-127.670029,-66.345940
-0.000000,53.043793,-127.630669,-66.409485
0.000000,52.921124,-127.598373,-66.483200
0.000001,52.826828,-127.591095,-66.483170
-0.000000,52.790928,-127.549843,-66.445511
0.000001,52.801365,-127.620018,-66.529152
-0.000000,52.839943,-127.703300,-66.639847
0.000001,52.952732,-127.692894,-66.585968
0.000001,52.959015,-127.710938,-66.591660
0.000001,52.944405,-127.674599,-66.575287
0.000001,52.858952,-127.657867,-66.496651
-0.000001,52.734303,-127.719597,-66.448853
-0.000001,52.690659,-127.759422,-66.397743
0.000000,52.690674,-127.681351,-66.337318
-0.000001,52.634750,-127.733543,-66.455330
-0.000001,52.560307,-127.846680,-66.583687
0.000002,52.584919,-127.887199,-66.581917
-0.000001,52.693760,-127.860725,-66.574005
0.000000,52.751259,-127.864479,-66.644600
-0.000001,52.683586,-127.892471,-66.764267
0.000000,52.661201,-127.885643,-66.648979
-0.000000,52.637253,-127.919586,-66.598595
-0.000000,52.647083,-127.927704,-66.606514
-0.000001,52.760941,-127.861626,-66.532829
-0.000001,52.887444,-127.710693,-66.436424
-0.000000,53.013832,-127.554649,-66.325394
0.000001,53.042030,-127.489487,-66.284409
0.000001,52.994019,-127.520142,-66.334312
0.000001,52.982162,-127.590279,-66.484238
0.000001,53.042255,-127.647812,-66.543762
0.000001,53.012905,-127.709206,-66.507042
0.000001,52.972527,-127.778038,-66.410286
0.000001,52.968704,-127.924095,-66.362335
0.000001,52.996365,-127.903130,-66.252930
-0.000000,52.961365,-127.862022,-66.193085
-0.000000,53.005993,-127.821327,-66.120064
0.000000,53.063797,-127.714828,-66.083702
-0.000001,53.077663,-127.665298,-66.130447
0.000001,53.015076,-127.719978,-66.223381
-0.000001,52.971336,-127.875481,-66.253983
-0.000001,52.859180,-127.990021,-66.289360
0.000000,52.827415,-128.033340,-66.331833
0.000001,52.819118,-128.060883,-66.278542
-0.000001,52.729351,-128.023163,-66.279602
-0.000001,52.606647,-128.006134,-66.421326
0.000001,52.595921,-127.876335,-66.418671
0.000001,52.663773,-127.688545,-66.338188
