Channel_1,Channel_2,Channel_3,Channel_4
0.000001,-160.333099,-3.936059,47.489639
0.000000,-160.344955,-3.927004,47.501610
0.000000,-160.410904,-3.942369,47.482719
0.000001,-160.387527,-3.877901,47.440327
-0.000000,-160.375534,-3.901408,47.471397
-0.000001,-160.349564,-3.981917,47.486427
0.000001,-160.352234,-4.080694,47.415161
0.000001,-160.289062,-4.079649,47.499268
0.000000,-160.307251,-4.050892,47.597363
0.000000,-160.435364,-4.144992,47.474731
0.000000,-160.500412,-4.264668,47.335514
-0.000000,-160.568329,-4.313284,47.237778
0.000000,-160.551559,-4.321332,47.154663
0.000001,-160.457687,-4.161901,47.180767
0.000000,-160.441437,-4.042692,47.131020
-0.000000,-160.424973,-3.972766,47.111069
-0.000000,-160.380325,-3.858043,47.200459
0.000001,-160.373215,-3.777442,47.211479
-0.000000,-160.419037,-3.802533,47.290993
0.000000,-160.525391,-3.996594,47.329578
0.000000,-160.588272,-4.118087,47.326027
-0.000000,-160.535461,-4.008010,47.475491
-0.000000,-160.555771,-3.960477,47.598480
0.000000,-160.557953,-3.914213,47.621826
-0.000000,-160.543472,-3.942201,47.527065
0.000001,-160.539047,-4.013601,47.428310
0.000000,-160.561676,-4.067040,47.401402
0.000000,-160.510468,-4.076919,47.322498
0.000000,-160.373642,-3.977058,47.425129
-0.000000,-160.385605,-4.007068,47.484482
-0.000000,-160.416245,-4.115877,47.354492
0.000000,-160.389130,-4.070837,47.247948
0.000000,-160.345779,-3.995712,47.233891
0.000001,-160.349930,-3.864842,47.251434
-0.000000,-160.394608,-3.834257,47.266876
-0.000000,-160.435471,-3.901246,47.252258
-0.000000,-160.381973,-3.918969,47.287300
0.000001,-160.361694,-3.969868,47.369675
-0.000001,-160.515457,-4.148873,47.324802
0.000001,-160.714157,-4.307254,47.227612
-0.000000,-160.760147,-4.262583,47.238468
0.000000,-160.865570,-4.274589,47.219990
0.000000,-160.945694,-4.260135,47.100765
0.000000,-160.807434,-4.053617,47.134617
0.000000,-160.547791,-3.841202,47.193386
0.000000,-160.387558,-3.821323,47.211521
-0.000000,-160.167191,-3.700689,47.304893
-0.000000,-160.139847,-3.763905,47.207806
0.000000,-160.247711,-3.967813,47.030674
-0.000000,-160.369125,-4.113185,46.921585
0.000000,-160.446762,-4.145657,46.859184
-0.000000,-160.484253,-4.113029,46.791973
