Channel_1,Channel_2,Channel_3,Channel_4
0.000001,37.912540,-157.521286,-36.144779
0.000001,38.047127,-157.440170,-36.063843
0.000000,38.325291,-157.380341,-35.997696
-0.000000,38.411194,-157.488998,-35.980556
-0.000000,38.316261,-157.691742,-36.019875
0.000001,38.170769,-157.914810,-36.058601
0.000001,38.101944,-157.977615,-36.056862
-0.000001,37.965069,-158.006302,-36.116638
-0.000000,37.674007,-158.117905,-36.221558
-0.000000,37.525852,-158.093765,-36.328583
0.000000,37.551170,-157.908447,-36.459881
-0.000000,37.519119,-157.770859,-36.532993
0.000001,37.497643,-157.764359,-36.577354
-0.000000,37.526779,-157.841522,-36.686687
-0.000000,37.624397,-157.961319,-36.808571
0.000000,37.722752,-158.076782,-36.766594
-0.000001,37.790741,-158.048126,-36.586784
-0.000000,37.867661,-158.081421,-36.536785
0.000000,37.882229,-158.121933,-36.532394
0.000001,37.902378,-158.053680,-36.507805
-0.000000,37.886890,-158.071014,-36.554440
-0.000000,37.855965,-158.034668,-36.541824
0.000000,37.821606,-158.044067,-36.461441
-0.000001,37.844883,-157.962189,-36.383450
0.000001,37.950542,-157.773727,-36.405369
-0.000000,38.103245,-157.657303,-36.381531
-0.000001,38.074318,-157.701675,-36.491768
0.000001,37.834953,-157.897552,-36.733753
-0.000000,37.606419,-158.028992,-36.891632
-0.000001,37.637321,-157.887238,-36.856117
0.000000,37.860310,-157.728516,-36.733383
0.000000,37.996933,-157.683075,-36.592556
0.000000,38.119656,-157.702042,-36.505032
0.000000,38.180637,-157.764099,-36.510853
0.000001,38.042439,-157.840775,-36.521439
-0.000000,37.882919,-157.915741,-36.496765
-0.000001,37.836136,-157.978333,-36.478256
0.000000,37.746162,-158.028473,-36.530178
0.000000,37.692776,-158.042999,-36.636856
0.000001,37.758095,-158.006424,-36.724510
-0.000000,37.823700,-157.897614,-36.770180
0.000000,37.834663,-157.904816,-36.791832
-0.000000,37.804943,-158.074951,-36.808876
0.000000,37.832638,-158.111801,-36.669697
0.000000,37.865383,-158.054932,-36.565041
0.000000,37.836304,-158.038406,-36.582081
0.000000,37.801498,-158.018784,-36.675602
-0.000000,37.780327,-157.967484,-36.802895
-0.000000,37.729919,-157.973816,-36.789078
0.000000,37.644341,-157.992859,-36.731869
-0.000000,37.609241,-157.845383,-36.637947
-0.000000,37.611225,-157.733154,-36.598709
-0.000000,37.647621,-157.774933,-36.606686
-0.000000,37.526951,-158.017914,-36.650013
0.000000,37.495823,-158.081406,-36.715702
-0.000000,37.650158,-157.912445,-36.756771
0.000000,37.843681,-157.772507,-36.675472
0.000000,37.973461,-157.775940,-36.574810
0.000000,38.160748,-157.721603,-36.468884
-0.000000,38.226181,-157.755219,-36.452858
-0.000000,38.238594,-157.812683,-36.477108
0.000000,38.153534,-157.870926,-36.485710
0.000000,37.982761,-157.990158,-36.565250
-0.000000,37.875587,-158.087402,-36.681652
-0.000000,37.793777,-158.081619,-36.696064
0.000000,37.851814,-157.976791,-36.563435
-0.000000,37.998432,-157.769913,-36.440472
-0.000000,38.152752,-157.488754,-36.312740
0.000000,38.183926,-157.358810,-36.233334
-0.000000,38.278152,-157.327133,-36.155148
0.000000,38.304001,-157.337326,-36.057289
0.000000,38.233078,-157.407944,-36.075283
-0.000000,38.188263,-157.426926,-36.116062
