Channel_1,Channel_2,Channel_3,Channel_4
0.000000,-90.340385,-104.301529,-86.363686
0.000000,-90.333565,-104.439339,-86.415436
-0.000000,-90.492569,-104.646904,-86.623314
0.000000,-90.550964,-104.839989,-86.777657
-0.000000,-90.397858,-104.920097,-86.819389
-0.000000,-90.274666,-104.937889,-86.821556
-0.000000,-90.219765,-104.899780,-86.830238
0.000000,-90.153938,-104.802528,-86.941513
-0.000000,-90.241623,-104.765259,-87.102966
-0.000000,-90.390320,-104.763092,-87.164574
-0.000000,-90.278809,-104.751930,-87.090218
0.000000,-90.183044,-104.802162,-87.138664
0.000000,-90.058273,-104.844643,-87.072235
0.000000,-89.984688,-104.851067,-86.981056
-0.000000,-89.958488,-104.844910,-86.989830
0.000000,-89.832230,-104.753174,-86.816093
0.000000,-89.685707,-104.673897,-86.646774
0.000000,-89.640488,-104.749527,-86.570641
0.000000,-89.677437,-104.753601,-86.601135
0.000000,-89.704102,-104.625748,-86.723511
0.000000,-89.795334,-104.587120,-86.869713
-0.000000,-89.906593,-104.609985,-86.927254
0.000000,-89.985977,-104.642990,-87.012192
-0.000000,-90.095810,-104.629868,-87.076103
-0.000000,-90.038414,-104.553635,-86.964203
-0.000000,-89.996994,-104.570267,-86.884933
-0.000000,-90.135185,-104.702644,-87.007088
-0.000000,-90.179527,-104.687050,-86.998207
-0.000000,-90.175621,-104.575111,-86.903961
0.000000,-90.225502,-104.554489,-86.951202
0.000000,-90.154343,-104.537918,-86.961113
-0.000000,-90.010895,-104.494354,-86.847511
-0.000000,-89.930138,-104.454849,-86.771828
-0.000000,-89.992058,-104.468742,-86.765938
-0.000000,-89.902405,-104.474281,-86.747688
0.000000,-89.767174,-104.455048,-86.643982
0.000000,-89.828705,-104.381577,-86.623596
0.000000,-89.916939,-104.414558,-86.673515
-0.000000,-89.920135,-104.462173,-86.631119
-0.000000,-89.861595,-104.501205,-86.573410
-0.000000,-89.814423,-104.568596,-86.538986
-0.000000,-89.814941,-104.646202,-86.618080
-0.000000,-89.871819,-104.656410,-86.818459
0.000000,-89.872215,-104.619995,-86.911293
-0.000000,-89.879921,-104.674522,-86.994965
0.000000,-89.919807,-104.829468,-87.140419
-0.000000,-89.893127,-104.841194,-87.089020
0.000000,-89.798157,-104.723206,-86.972252
-0.000001,-89.750565,-104.569725,-86.960670
0.000000,-89.630142,-104.391418,-86.822014
-0.000000,-89.517807,-104.296753,-86.693489
-0.000000,-89.390862,-104.264748,-86.608292
0.000001,-89.263451,-104.244286,-86.593918
0.000000,-89.204842,-104.233681,-86.717751
-0.000000,-89.233566,-104.238411,-86.803200
-0.000001,-89.307915,-104.266586,-86.849602
0.000000,-89.328583,-104.265282,-86.818840
0.000000,-89.444908,-104.378853,-86.804253
0.000001,-89.723755,-104.509727,-86.795441
0.000000,-89.947754,-104.594627,-86.821167
-0.000000,-89.985092,-104.617752,-86.891411
0.000000,-89.902206,-104.699188,-86.941200
0.000001,-89.731941,-104.728882,-86.855278
-0.000001,-89.551208,-104.683083,-86.790039
0.000000,-89.460884,-104.640053,-86.734039
0.000000,-89.376434,-104.616119,-86.598442
-0.000001,-89.359512,-104.553932,-86.422752
-0.000000,-89.249069,-104.466148,-86.296509
