Channel_1,Channel_2,Channel_3,Channel_4
0.000001,116.237259,23.441647,9.009981
0.000000,116.186958,23.517334,9.052792
0.000000,116.098648,23.532614,9.030395
0.000000,115.999039,23.456272,8.967461
0.000001,115.962250,23.370012,9.010365
0.000000,116.083374,23.456913,9.084805
-0.000000,116.135750,23.605860,9.153567
-0.000000,116.058578,23.670742,9.125216
0.000000,116.058052,23.608131,9.038303
0.000000,116.080353,23.504532,9.000255
-0.000000,116.122345,23.491463,8.997173
-0.000001,116.130722,23.502556,8.982800
-0.000001,116.079483,23.538113,9.075670
0.000000,116.027451,23.538286,9.111246
0.000001,115.981033,23.504244,9.042662
-0.000000,116.092049,23.521252,9.026555
0.000000,116.196182,23.565535,8.980902
0.000000,116.348793,23.617937,8.965098
-0.000001,116.385376,23.591608,8.995872
0.000001,116.133987,23.536310,8.859404
0.000000,115.896759,23.535385,8.805242
0.000001,115.893684,23.538065,8.751392
0.000000,115.858131,23.524042,8.699067
0.000001,115.811287,23.515444,8.750248
0.000000,115.817902,23.416752,8.677722
0.000001,115.827545,23.251440,8.595143
0.000000,115.830482,23.103785,8.614328
0.000000,115.875656,23.111700,8.705131
0.000000,115.865639,23.059542,8.603921
-0.000001,115.919914,23.122950,8.541772
0.000001,116.031548,23.323626,8.747389
0.000000,115.963371,23.394541,8.869776
0.000001,115.766098,23.308723,8.801013
-0.000000,115.677719,23.231068,8.794308
0.000001,115.668976,23.144855,8.763187
-0.000001,115.667351,23.007383,8.749795
0.000000,115.590019,22.952644,8.744227
0.000001,115.425270,22.911177,8.627591
-0.000001,115.303314,22.824806,8.462249
0.000000,115.297668,22.750389,8.350144
-0.000001,115.317467,22.699652,8.330094
0.000001,115.282150,22.745947,8.363014
-0.000000,115.209671,22.794979,8.406561
0.000001,115.210159,22.824133,8.453925
0.000000,115.302956,22.971542,8.497620
-0.000000,115.351456,23.054325,8.530456
0.000000,115.386230,23.150827,8.514560
0.000000,115.406555,23.168064,8.548540
-0.000000,115.405190,23.010571,8.532150
0.000001,115.442871,22.895769,8.494840
-0.000000,115.490623,22.893471,8.443584
0.000000,115.419136,22.926931,8.311451
0.000000,115.375687,22.867832,8.257826
-0.000001,115.360580,22.876762,8.388890
0.000001,115.380577,23.008654,8.486123
-0.000000,115.440163,23.054411,8.465224
0.000000,115.502876,23.019373,8.450484
-0.000000,115.545891,23.101435,8.500073
