Channel_1,Channel_2,Channel_3,Channel_4
-0.000000,-106.262871,-105.993004,-155.648315
-0.000000,-106.298096,-106.087410,-155.558075
-0.000000,-106.349174,-106.204025,-155.599121
0.000001,-106.362770,-106.218704,-155.558441
0.000000,-106.295090,-106.032631,-155.420792
-0.000001,-106.172569,-105.970093,-155.415909
-0.000001,-106.067337,-106.030449,-155.511139
-0.000000,-106.103073,-106.085434,-155.668106
-0.000000,-106.241364,-106.242729,-155.798019
0.000000,-106.409546,-106.405220,-155.957916
0.000000,-106.391800,-106.400047,-156.019714
0.000000,-106.279831,-106.332573,-155.991104
-0.000001,-106.236320,-106.295540,-156.002365
0.000001,-106.207855,-106.265579,-155.992477
-0.000001,-106.203392,-106.181702,-155.912643
0.000000,-106.211090,-106.023094,-155.847870
0.000001,-106.277710,-105.892242,-155.729370
0.000000,-106.357590,-105.820770,-155.573380
-0.000000,-106.461685,-105.771584,-155.478302
0.000000,-106.544533,-105.715179,-155.397614
-0.000001,-106.436089,-105.647713,-155.277374
-0.000000,-106.101143,-105.599770,-155.121292
0.000000,-105.785797,-105.429955,-154.984314
-0.000001,-105.639282,-105.270164,-154.957443
-0.000001,-105.580864,-105.217812,-155.026794
-0.000000,-105.607391,-105.226326,-155.067688
-0.000000,-105.605293,-105.192970,-154.985504
-0.000000,-105.671127,-105.290474,-154.934616
0.000001,-105.613518,-105.338364,-154.791779
-0.000000,-105.620331,-105.447685,-154.756958
-0.000001,-105.751472,-105.669441,-154.938950
0.000001,-105.691383,-105.716064,-155.049255
-0.000000,-105.560463,-105.628586,-155.056198
0.000001,-105.506187,-105.598145,-155.028793
0.000000,-105.522697,-105.668159,-155.111130
0.000001,-105.566025,-105.736893,-155.286392
0.000000,-105.556137,-105.792450,-155.329193
-0.000000,-105.579803,-105.779106,-155.324631
0.000001,-105.475548,-105.607071,-155.125305
0.000000,-105.234619,-105.367577,-154.857162
0.000000,-105.043617,-105.283875,-154.816559
-0.000000,-105.061661,-105.413147,-154.852417
0.000000,-105.130554,-105.429352,-154.861389
0.000000,-105.153862,-105.357231,-154.851196
0.000000,-105.238007,-105.445137,-154.838516
-0.000000,-105.276245,-105.514694,-154.765594
0.000000,-105.287201,-105.544777,-154.743561
0.000000,-105.316025,-105.584488,-154.725403
0.000000,-105.437569,-105.640694,-154.717102
-0.000000,-105.456390,-105.571785,-154.712463
0.000000,-105.447327,-105.554657,-154.755692
-0.000000,-105.434898,-105.603027,-154.798553
0.000000,-105.446503,-105.670357,-154.870911
-0.000000,-105.472496,-105.621941,-154.844315
0.000000,-105.507965,-105.468994,-154.824051
-0.000000,-105.576172,-105.368683,-154.882996
-0.000000,-105.617699,-105.402679,-154.896423
0.000000,-105.542290,-105.347107,-154.878876
-0.000000,-105.371605,-105.265846,-154.876343
-0.000000,-105.417122,-105.298370,-154.927094
-0.000000,-105.566826,-105.467606,-155.081650
-0.000000,-105.594360,-105.608063,-155.204346
0.000000,-105.626465,-105.744629,-155.372864
0.000000,-105.689232,-105.912575,-155.437454
0.000000,-105.639946,-105.959747,-155.371902
-0.000000,-105.568588,-105.949776,-155.362244
-0.000000,-105.613541,-105.989655,-155.379379
-0.000000,-105.698509,-105.917084,-155.389328
0.000000,-105.688828,-105.743126,-155.310089
-0.000000,-105.656052,-105.605064,-155.173477
0.000000,-105.647713,-105.474228,-155.133942
-0.000000,-105.600502,-105.296562,-155.029022
-0.000000,-105.704300,-105.273476,-154.966721
-0.000000,-105.812706,-105.307861,-154.990753
-0.000000,-105.833214,-105.255890,-155.067322
0.000000,-105.770241,-105.184647,-155.115250
0.000000,-105.725479,-105.170990,-155.192032
0.000000,-105.770859,-105.184578,-155.329453
-0.000000,-105.823395,-105.231903,-155.474716
0.000000,-105.914673,-105.333054,-155.503448
-0.000000,-105.958931,-105.424919,-155.372253
-0.000000,-105.922211,-105.416168,-155.339539
0.000000,-105.993500,-105.378029,-155.362381
0.000000,-106.082191,-105.394211,-155.430435
0.000000,-106.025673,-105.429169,-155.409592
-0.000000,-106.011078,-105.451248,-155.441818
0.000000,-106.167847,-105.485992,-155.556427
0.000000,-106.249687,-105.482536,-155.503906
0.000000,-106.145081,-105.459373,-155.395462
0.000000,-105.967293,-105.452553,-155.303421
0.000000,-105.825890,-105.500587,-155.322067
-0.000000,-105.789078,-105.530952,-155.386078
0.000001,-105.833572,-105.516388,-155.507935
0.000000,-105.833557,-105.564636,-155.621216
-0.000001,-105.811607,-105.607727,-155.624344
-0.000000,-105.802040,-105.705154,-155.499268
